idx,charterer,ship,type,fleet,loaded,delivered,bl,year,month,load_port,disch_port,region,distance,src
93-2023-S,KMG TRADING AG,Alicante,Aframax,3rd party,98997.0,98997.0,2024-01-17,2024,1,CPC,Ashkelon,Black-Med,Middle,2026-08-12
01-2024 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,98898.0,98898.0,2024-01-18,2024,1,CPC,FOS,Black-Med,Middle,2026-08-12
94-2023-S,KMG TRADING AG,Nissos Delos,Aframax,3rd party,98895.0,98895.0,2024-01-21,2024,1,CPC,Santa Panagia,Black-Med,Middle,2026-08-12
03-2024-S,KMG TRADING AG,NEW LEGEND,Suezmax,3rd party,79866.0,79866.0,2024-01-24,2024,1,Novorossiysk,Midia,Black-Black,Short,2026-08-12
01-2024-S,KMG TRADING AG,Safeen Elona,Aframax,ADP fleet,93895.0,93895.0,2024-01-28,2024,1,CPC,Trieste,Black-Med,Middle,2026-08-12
02-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,80096.0,80096.0,2024-01-29,2024,1,Novorossiysk,Midia,Black-Black,Short,2026-08-12
02-2024 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,89427.645,89427.645,2024-01-30,2024,1,Ceyhan,Sarroch,Med-Med,Short,2026-08-12
04-2024-S,KMG TRADING AG,GREEN AZURE,Aframax,3rd party,96398.0,96398.0,2024-02-03,2024,2,CPC,Limasol,Black-Med,Middle,2026-08-12
07-2024-S,KMG TRADING AG,NEW LEGEND,Suezmax,3rd party,80000.0,80000.0,2024-02-08,2024,2,Novorossiysk,Midia,Black-Black,Short,2026-08-12
06-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,87930.0,87930.0,2024-02-12,2024,2,CPC,Aliaga/Laconia,Black-Med,Middle,2026-08-12
05-2024-S,KMG TRADING AG,Ohio,Aframax,3rd party,89932.0,89932.0,2024-02-14,2024,2,CPC,Midia,Black-Black,Short,2026-08-12
08-2024-S,KMG TRADING AG,Searuby,Aframax,3rd party,98928.0,98928.0,2024-02-16,2024,2,CPC,Gdansk,Black-Baltic,Short,2026-08-12
02-2024 ALA,TUPRAS,Alatau,Alatau-Aframax,Own fleet,83751.52,83751.52,2024-02-17,2024,2,Es Sider,Aliaga,Med-Med,Short,2026-08-12
12-2024-S,KMG TRADING AG,MINERVA LISA,Aframax,3rd party,94467.968,94467.968,2024-02-17,2024,2,Ceyhan,Trieste,Med-Med,Short,2026-08-12
03-2024 ALT,HERITAGE,Altai,Altai-Aframax,Own fleet,89549.177,89549.177,2024-02-18,2024,2,Ceyhan,Trieste,Med-Med,Short,2026-08-12
09-2024-S,KMG TRADING AG,Stamos,Aframax,3rd party,84894.0,84894.0,2024-02-21,2024,2,CPC,Laconia/Aliaga,Black-Med,Middle,2026-08-12
11-2024-S,KMG TRADING AG,NEW LEGEND,Suezmax,3rd party,80112.671,80112.671,2024-02-23,2024,2,Novorossiysk,Midia,Black-Black,Short,2026-08-12
10-2024-S,KMG TRADING AG,SEAVIGOUR,Suezmax,3rd party,130396.0,130396.0,2024-02-27,2024,2,CPC,Pachi Megara,Black-Med,Middle,2026-08-12
13-2024-S,KMG TRADING AG,Ohio,Aframax,3rd party,91452.0,91452.0,2024-02-28,2024,2,CPC,Limasol,Black-Med,Middle,2026-08-12
03-2024 ALA,Litasco SA,Alatau,Alatau-Aframax,Own fleet,71101.6,71101.6,2024-02-28,2024,2,Kalamata,Burgas,Med-Black,Middle,2026-08-12
15-2024-S,Eni Trade & Biofuel,SAFEEN BARONESS,Aframax,ADP fleet,79674.58,79674.58,2024-03-05,2024,3,Es Sider,Augusta,Med-Med,Short,2026-08-12
14-2024-S,KMG TRADING AG,Safeen Elona,Aframax,ADP fleet,93951.0,93951.0,2024-03-06,2024,3,CPC,Santa Panagia,Black-Med,Middle,2026-08-12
04-2024 ALT,HERITAGE,Altai,Altai-Aframax,Own fleet,89810.324,89810.324,2024-03-08,2024,3,Ceyhan,Sines,Med-Continent,Middle,2026-08-12
04-2024 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,98963.0,98963.0,2024-03-15,2024,3,CPC,Laconia/Aliaga,Black-Med,Middle,2026-08-12
16-2024-S,KMG TRADING AG,MINERVA ELEFTHERIA,Aframax,3rd party,98954.0,98954.0,2024-03-17,2024,3,CPC,Omisalj,Black-Med,Middle,2026-08-12
18-2024-S,KMG TRADING AG,NEW VISION,Suezmax,3rd party,133099.0,133099.0,2024-03-25,2024,3,CPC,TUTUNCIFLICK/ALIAGA/STS LAKONIKOS BAY,Black-Med,Middle,2026-08-12
19-2024-S,KMG TRADING AG,Seastar,Aframax,3rd party,96400.0,96400.0,2024-03-25,2024,3,CPC,Sarroch,Black-Med,Middle,2026-08-12
05-2024 ALT,HERITAGE,Altai,Altai-Aframax,Own fleet,90000.815,90000.815,2024-04-06,2024,4,Ceyhan,Sarroch,Med-Med,Short,2026-08-12
05-2024 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,98932.0,98932.0,2024-04-06,2024,4,CPC,Trieste,Black-Med,Middle,2026-08-12
22-2024-S,Chevron Tankers Ltd,SAFEEN ELONA,Aframax,ADP fleet,93531.0,93531.0,2024-04-16,2024,4,CPC,Fos,Black-Med,Middle,2026-08-12
23-2024-S,KMG TRADING AG,SEARANGER,Aframax,3rd party,97274.0,97274.0,2024-04-16,2024,4,CPC,Big Stone Anchorage/USA,Black-USA East Coast,Long,2026-08-12
21-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,79895.0,79895.0,2024-04-18,2024,4,Novorossiysk,Midia,Black-Black,Short,2026-08-12
24-2024-S,KMG TRADING AG,SEAVIOLET,Suezmax,3rd party,132217.0,132217.0,2024-04-17,2024,4,CPC,Ashkelon,Black-Med,Middle,2026-08-12
26-2024-S,KMG TRADING AG,AGIOS GERASIMOS,Aframax,3rd party,98866.0,98866.0,2024-04-23,2024,4,CPC,Omisalj,Black-Med,Middle,2026-08-12
25-2024-S,KMG TRADING AG,New Vision,Suezmax,3rd party,130879.0,130879.0,2024-04-25,2024,4,CPC,Trieste,Black-Med,Middle,2026-08-12
06-2024 ALT,HERITAGE,Altai,Altai-Aframax,Own fleet,89631.24,89631.24,2024-04-26,2024,4,Ceyhan,Santa Panagia,Med-Med,Short,2026-08-12
28-2024-S,KMG TRADING AG,MINERVA ZENOBIA,Aframax,3rd party,84697.0,84967.0,2024-05-03,2024,5,CPC,Thessaloniki,Black-Med,Middle,2026-08-12
07-2024 ALT,BGN,Altai,Altai-Aframax,Own fleet,83842.24,83842.24,2024-05-11,2024,5,Es Sider,Midia,Med-Black,Middle,2026-08-12
29-2024-S,KMG TRADING AG,SAFEEN ELONA,Aframax,ADP fleet,93432.0,84967.0,2024-05-11,2024,5,CPC,Fos,Black-Med,Middle,2026-08-12
30-2024-S,KMG TRADING AG,NEW FRIENDSHIP,Aframax,3rd party,79992.0,79992.0,2024-05-12,2024,5,Novorossiysk,Midia,Black-Black,Short,2026-08-12
31-2024-S,KMG TRADING AG,AGIOS GERASIMOS,Aframax,3rd party,98936.0,98936.0,2024-05-14,2024,5,CPC,Trieste,Black-Med,Middle,2026-08-12
32-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,80092.895,80092.895,2024-05-20,2024,5,Novorossiysk,Midia,Black-Black,Short,2026-08-12
34-2024-S,KMG TRADING AG,Ohio,Aframax,3rd party,88984.0,88984.0,2024-05-18,2024,5,CPC,Omisalj,Black-Med,Middle,2026-08-12
35-2024-S,KMG TRADING AG,Rava,Aframax,3rd party,93434.0,93434.0,2024-05-22,2024,5,CPC,Trieste,Black-Med,Middle,2026-08-12
36-2024-S,KMG TRADING AG,New Legend,Suezmax,3rd party,79905.0,79905.0,2024-05-27,2024,5,Novorossiysk,Midia,Black-Black,Short,2026-08-12
33-2024-S,KMG TRADING AG,Seavelvet,Aframax,3rd party,98249.0,98249.0,2024-05-28,2024,5,CPC,Delaware/Freeport,Black-USA East Coast,Long,2026-08-12
37-2024-S,KMG TRADING AG,NEW FRIENDSHIP,Aframax,3rd party,79905.0,79905.0,2024-05-31,2024,5,Novorossiysk,Midia,Black-Black,Short,2026-08-12
38-2024-S,Chevron Tankers Ltd,SAFEEN ELONA,Aframax,ADP fleet,93461.0,93461.0,2024-06-03,2024,6,CPC,Fos,Black-Med,Middle,2026-08-12
06-2024 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,80122.0,80122.0,2024-06-12,2024,6,Novorossiysk,Midia,Black-Black,Short,2026-08-12
39-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,87456.0,87456.0,2024-06-12,2024,6,CPC,Tutunsiftlik/STS port Said,Black-Med,Middle,2026-08-12
08-2024 ALT,BP SHIPPING LTD,Altai,Altai-Aframax,Own fleet,82165.0,82165.0,2024-06-21,2024,6,Mellitah,Castellon,Med-Med,Short,2026-08-12
40-2024-S,KMG TRADING AG,Minerva Alice,Aframax,3rd party,84931.0,84931.0,2024-06-22,2024,6,CPC,Trieste,Black-Med,Middle,2026-08-12
42-2024-S,KMG TRADING AG,Aegean Harmony,Aframax,3rd party,92932.0,92932.0,2024-06-22,2024,6,CPC,Midia,Black-Black,Short,2026-08-12
07-2024 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,80041.0,80041.0,2024-06-28,2024,6,Novorossiysk,Midia,Black-Black,Short,2026-08-12
43-2024-S,KMG TRADING AG,Valfoglia,Aframax,3rd party,84931.0,84931.0,2024-06-29,2024,6,CPC,Tutunciftlik/Aliaga,Black-Med,Middle,2026-08-12
46-2024-S,KMG TRADING AG,NEW FRIENDSHIP,Aframax,3rd party,80040.0,80040.0,2024-07-06,2024,7,Novorossiysk,Midia,Black-Black,Short,2026-08-12
44-2024-S,KMG TRADING AG,SAFEEN ELONA,Aframax,ADP fleet,93239.0,93239.0,2024-07-06,2024,7,CPC,Constanta,Black-Black,Short,2026-08-12
45-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,81137.0,81137.0,2024-07-09,2024,7,CPC,Pachi Megara,Black-Med,Middle,2026-08-12
47-2024-S,KMG TRADING AG,Minerva Alice,Aframax,3rd party,81155.0,81155.0,2024-07-11,2024,7,CPC,Sarroch,Black-Med,Middle,2026-08-12
09-2024 ALT,INPEX,Altai,Altai-Aframax,Own fleet,89421.029,89421.029,2024-07-12,2024,7,Ceyhan,Omisalj,Med-Med,Short,2026-08-12
08-2024 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,79200.0,79200.0,2024-07-18,2024,7,Novorossiysk,Midia,Black-Black,Short,2026-08-12
49-2024-S,KMG TRADING AG,SAFEEN ELONA,Aframax,ADP fleet,86757.0,86757.0,2024-07-18,2024,7,CPC,Trieste,Black-Med,Middle,2026-08-12
48-2024-S,KMG TRADING AG,AEGEAN UNITY,Suezmax,3rd party,130919.0,130919.0,2024-07-22,2024,7,CPC,Trieste,Black-Med,Middle,2026-08-12
50-2024-S,KMG TRADING AG,NEW FRIENDSHIP,Aframax,3rd party,81055.0,81055.0,2024-07-24,2024,7,Novorossiysk,Midia,Black-Black,Short,2026-08-12
09-2024 ALA,Chevron Tankers Ltd,Alatau,Alatau-Aframax,Own fleet,89951.0,89951.0,2024-07-26,2024,7,CPC,Trieste,Black-Med,Middle,2026-08-12
51-2024-S,KMG TRADING AG,Agios Gerasimos,Aframax,3rd party,97396.0,97396.0,2024-07-28,2024,7,CPC,Trieste,Black-Med,Middle,2026-08-12
10-2024 ALT,SEARIVER MARITIME LLC,Altai,Altai-Aframax,Own fleet,79827.95,79827.95,2024-07-28,2024,7,Ras Lanuf,Fawley,Med-UK,Long,2026-08-12
53-2024-S,KMG TRADING AG,Sealeo,Aframax,3rd party,88005.0,88005.0,2024-07-30,2024,7,CPC,Haifa,Black-Med,Middle,2026-08-12
54-2024-S,KMG TRADING AG,NEW AMORGOS,Aframax,3rd party,84947.0,84947.0,2024-08-02,2024,8,CPC,Midia,Black-Black,Short,2026-08-12
56-2024-S,KMG TRADING AG,NEW LEGEND,Suezmax,3rd party,80010.0,80010.0,2024-08-07,2024,8,Novorossiysk,Midia,Black-Black,Short,2026-08-12
57-2024-S,KMG TRADING AG,Fontana,Suezmax,3rd party,82898.0,82898.0,2024-08-05,2024,8,CPC,Rotterdam,Black-Continent,Long,2026-08-12
58-2024-S,Chevron Tankers Ltd,SAFEEN ELONA,Aframax,ADP fleet,89956.0,89956.0,2024-08-13,2024,8,CPC,Cartagena,Black-Med,Middle,2026-08-12
59-2024-S,KMG TRADING AG,NEW FRIENDSHIP,Aframax,3rd party,80005.0,80005.0,2024-08-12,2024,8,Novorossiysk,Midia,Black-Black,Short,2026-08-12
60-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,80044.0,80044.0,2024-08-19,2024,8,Novorossiysk,Midia,Black-Black,Short,2026-08-12
61-2024-S,KMG TRADING AG,NEW AMORGOS,Aframax,3rd party,81157.0,81157.0,2024-08-16,2024,8,CPC,Pachi Megara,Black-Med,Middle,2026-08-12
10-2024 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,84701.0,84701.0,2024-08-21,2024,8,CPC,Trieste,Black-Med,Middle,2026-08-12
11-2024 ALT,HERITAGE,Altai,Altai-Aframax,Own fleet,64979.696,64979.696,2024-08-27,2024,8,Ceyhan,Bizerta,Med-Med,Short,2026-08-12
63-2024-S,KMG TRADING AG,Minerva Alice,Aframax,3rd party,80031.0,80031.0,2024-08-31,2024,8,CPC,Midia,Black-Black,Short,2026-08-12
62-2024-S,KMG TRADING AG,Saga,Aframax,3rd party,82903.0,82903.0,2024-08-30,2024,8,CPC,Trieste,Black-Med,Middle,2026-08-12
64-2024-S,KMG TRADING AG,SAFEEN ELONA,Aframax,ADP fleet,91958.0,91958.0,2024-09-05,2024,9,CPC,Thessaloniki,Black-Med,Middle,2026-08-12
66-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,80000.0,80000.0,2024-09-07,2024,9,Novorossiysk,Midia,Black-Black,Short,2026-08-12
65-2024-S,KMG TRADING AG,Rava,Aframax,3rd party,91951.0,91951.0,2024-09-10,2024,9,CPC,Agio Theodoroi,Black-Med,Middle,2026-08-12
12-2024 ALT,HERITAGE,Altai,Altai-Aframax,Own fleet,81961.976,81961.976,2024-09-12,2024,9,Ceyhan,Savona,Med-Med,Short,2026-08-12
11-2024 ALA,Chevron Tankers Ltd,Alatau,Alatau-Aframax,Own fleet,97894.0,97894.0,2024-09-13,2024,9,CPC,Thessaloniki,Black-Med,Middle,2026-08-12
67-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,80080.0,80080.0,2024-09-16,2024,9,Novorossiysk,Midia,Black-Black,Short,2026-08-12
68-2024-S,KMG TRADING AG,NEW AMORGOS,Aframax,3rd party,86436.0,86436.0,2024-09-20,2024,9,CPC,Constanta,Black-Black,Short,2026-08-12
69-2024-S,Chevron Tankers Ltd,SAFEEN ELONA,Aframax,ADP fleet,93462.0,93462.0,2024-09-23,2024,9,CPC,Trieste,Black-Med,Middle,2026-08-12
70-2024-S,KMG TRADING AG,NEW FRIENDSHIP,Aframax,3rd party,79882.0,79882.0,2024-09-25,2024,9,Novorossiysk,Midia,Black-Black,Short,2026-08-12
12-2024 ALA,Litasco SA,Alatau,Alatau-Aframax,Own fleet,81457.28,81457.28,2024-09-30,2024,9,Sidi Kerir,Burgas,Med-Black,Middle,2026-08-12
71-2024-S,KMG TRADING AG,SEAMUSIC,Aframax,3rd party,85935.0,85935.0,2024-09-29,2024,9,CPC,Midia,Black-Black,Short,2026-08-12
13-2024 ALT,HERITAGE,Altai,Altai-Aframax,Own fleet,90023.28,90023.28,2024-09-29,2024,9,Ceyhan,Savona,Med-Med,Short,2026-08-12
72-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,86432.0,86432.0,2024-10-01,2024,10,CPC,Limasol,Black-Med,Middle,2026-08-12
74-2024-S,KMG TRADING AG,NEW LEGEND,Suezmax,3rd party,80059.0,80059.0,2024-10-05,2024,10,Novorossiysk,Midia,Black-Black,Short,2026-08-12
73-2024-S,KMG TRADING AG,NEW AMORGOS,Aframax,3rd party,82981.0,82981.0,2024-10-10,2024,10,CPC,Trieste,Black-Med,Middle,2026-08-12
75-2024-S,KMG TRADING AG,NEW FRIENDSHIP,Aframax,3rd party,80000.0,81457.28,2024-10-12,2024,10,Novorossiysk,Midia,Black-Black,Short,2026-08-12
13-2024 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,82902.0,82902.0,2024-10-22,2024,10,CPC,Santa Panagia,Black-Med,Middle,2026-08-12
78-2024-S,KMG TRADING AG,Seliger,Aframax,3rd party,81938.0,81938.0,2024-10-23,2024,10,CPC,Aliaga/Port Said,Black-Med,Middle,2026-08-12
77-2024-S,Chevron Tankers Ltd,SAFEEN ELONA,Aframax,ADP fleet,93360.0,93360.0,2024-10-22,2024,10,CPC,Castellon,Black-Med,Middle,2026-08-12
14-2024 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,80000.0,80000.0,2024-10-24,2024,10,Novorossiysk,Midia,Black-Black,Short,2026-08-12
76-2024-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,82958.0,82958.0,2024-10-25,2024,10,CPC,Tutunsiftlik/STS port Said,Black-Med,Middle,2026-08-12
79-2024-S,KMG TRADING AG,Minerva Karteria,Aframax,3rd party,81939.0,81939.0,2024-10-29,2024,10,CPC,Midia,Black-Black,Short,2026-08-12
80-2024-S,KMG TRADING AG,Rava,Aframax,3rd party,98959.0,98959.0,2024-11-02,2024,11,CPC,Fos,Black-Med,Middle,2026-08-12
81-2024-S,KMG TRADING AG,Seamusic,Aframax,3rd party,98639.0,98639.0,2024-11-07,2024,11,CPC,Fos,Black-Med,Middle,2026-08-12
15-2024 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,79960.0,79960.0,2024-11-07,2024,11,CPC,Midia,Black-Black,Short,2026-08-12
82-2024-S,KMG TRADING AG,Minerva Karteria,Aframax,3rd party,89940.0,89940.0,2024-11-13,2024,11,CPC,Omisalj,Black-Med,Middle,2026-08-12
84-2024-S,KMG TRADING AG,Safeen Baroness,Aframax,ADP fleet,80000.0,80000.0,2024-11-20,2024,11,Novorossiysk,Midia,Black-Black,Short,2026-08-12
85-2024-S,KMG TRADING AG,Ryman,Aframax,3rd party,89897.0,89897.0,2024-11-19,2024,11,CPC,Trieste,Black-Med,Middle,2026-08-12
16-2024 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,80102.0,80102.0,2024-11-14,2024,11,Novorossiysk,Midia,Black-Black,Short,2026-08-12
14-2024 ALA,Chevron Tankers Ltd,Alatau,Alatau-Aframax,Own fleet,89949.0,89949.0,2024-11-14,2024,11,CPC,FOS,Black-Med,Middle,2026-08-12
17-2024 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,84948.0,84948.0,2024-11-23,2024,11,CPC,Castellon,Black-Med,Middle,2026-08-12
83-2024-S,Chevron Tankers Ltd,SAFEEN ELONA,Aframax,ADP fleet,84898.0,84898.0,2024-11-25,2024,11,CPC,Cartagena,Black-Med,Middle,2026-08-12
86-2024-S,KMG TRADING AG,Safeen Baroness,Aframax,ADP fleet,88278.0,88278.0,2024-12-03,2024,12,CPC,Trieste,Black-Med,Middle,2026-08-12
87-2024-S,KMG TRADING AG,NEW FRIENDSHIP,Aframax,3rd party,80100.0,80100.0,2024-12-05,2024,12,Novorossiysk,Midia,Black-Black,Short,2026-08-12
89-2024-S,KMG TRADING AG,YPAPANTI,Aframax,3rd party,79899.001,79899.001,2024-12-08,2024,12,Novorossiysk,Midia,Black-Black,Short,2026-08-12
88-2024-S,KMG TRADING AG,Sealeo,Aframax,3rd party,89454.0,89454.0,2024-12-12,2024,12,CPC,Trieste,Black-Med,Middle,2026-08-12
15-2024 ALA,Litasco SA,Alatau,Alatau-Aframax,Own fleet,89749.245,89749.245,2024-12-14,2024,12,Ceyhan,Genoa,Med-Med,Short,2026-08-12
90-2024-S,KMG TRADING AG,Minerva Libra,Aframax,3rd party,80029.0,80029.0,2024-12-19,2024,12,Novorossiysk,Midia,Black-Black,Short,2026-08-12
91-2024-S,KMG TRADING AG,ATHENS VOYAGER,Aframax,3rd party,92996.0,92996.0,2024-12-21,2024,12,CPC,Trieste,Black-Med,Middle,2026-08-12
92-2024-S,KMG TRADING AG,Aegean Harmony,Aframax,3rd party,98942.0,98942.0,2024-12-22,2024,12,CPC,Santa Panagia,Black-Med,Middle,2026-08-12
93-2024-S,KMG TRADING AG,Calypso,Aframax,3rd party,92344.0,92344.0,2024-12-25,2024,12,CPC,Midia,Black-Black,Short,2026-08-12
01-2025 ALT,Chevron Tankers Ltd,Altai,Altai-Aframax,Own fleet,84939.0,84939.0,2024-12-31,2024,12,CPC,Trieste,Black-Med,Middle,2026-08-12
01-2025-S,KMG TRADING AG,Minerva Libra,Aframax,3rd party,80033.0,81148.0,2025-01-05,2025,1,Novorossiysk,Midia,Black-Black,Short,2026-08-12
02-2025-S,KMG TRADING AG,SAFEEN ELONA,Aframax,ADP fleet,93540.0,93540.0,2025-01-05,2025,1,CPC,FOS,Black-Med,Middle,2026-08-12
01-2025 ALA,Equinor,Alatau,Alatau-Aframax,Own fleet,81106.3,81106.3,2025-01-08,2025,1,Zawia,Constanta,Med-Black,Middle,2026-08-12
03-2025-S,KMG TRADING AG,YPAPANTI,Aframax,3rd party,81148.0,81148.0,2025-01-09,2025,1,CPC,Trieste,Black-Med,Middle,2026-08-12
04-2025-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,80040.0,80040.0,2025-01-10,2025,1,Novorossiysk,Midia,Black-Black,Short,2026-08-12
05-2025-S,KMG TRADING AG,Minerva Karteria,Aframax,3rd party,98951.0,98951.0,2025-01-18,2025,1,CPC,Trieste,Black-Med,Middle,2026-08-12
06-2025-S,KMG TRADING AG,Minerva Libra,Aframax,3rd party,80375.151,80375.151,2025-01-19,2025,1,Novorossiysk,Midia,Black-Black,Short,2026-08-12
07-2025-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,84948.0,84948.0,2025-01-23,2025,1,CPC,Midia,Black-Black,Short,2026-08-12
08-2025-S,KMG TRADING AG,AGIOS GERASIMOS,Aframax,3rd party,98158.0,98158.0,2025-01-25,2025,1,CPC,Santa Panagia,Black-Med,Middle,2026-08-12
02-2025 ALT,HERITAGE,Altai,Altai-Aframax,Own fleet,102101.35,102101.35,2025-01-29,2025,1,Ceyhan,Midia,Med-Black,Middle,2026-08-12
02-2025 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,79974.0,79974.0,2025-02-03,2025,2,Novorossiysk,Midia,Black-Black,Short,2026-08-12
09-2025-S,KMG TRADING AG,Ghibli,Aframax,3rd party,97972.0,97972.0,2025-02-11,2025,2,CPC,Castellon,Black-Med,Middle,2026-08-12
10-2025-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,80001.0,80001.0,2025-02-12,2025,2,Novorossiysk,Midia,Black-Black,Short,2026-08-12
11-2025-S,KMG TRADING AG,SAFEEN ELONA,Aframax,ADP fleet,92944.0,92944.0,2025-02-12,2025,2,CPC,Genoa,Black-Med,Middle,2026-08-12
03-2025 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,80042.0,80042.0,2025-02-17,2025,2,Novorossiysk,Midia,Black-Black,Short,2026-08-12
03-2025 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,84934.0,84934.0,2025-02-17,2025,2,CPC,Sarroch,Black-Med,Middle,2026-08-12
12-2025-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,82987.0,82987.0,2025-02-23,2025,2,CPC,Midia,Black-Black,Short,2026-08-12
13-2025-S,KMG TRADING AG,Minerva Libra,Aframax,3rd party,95247.0,95247.0,2025-02-24,2025,2,CPC,Constanta,Black-Black,Short,2026-08-12
04-2025 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,92950.0,92950.0,2025-02-28,2025,2,CPC,Constanta,Black-Black,Short,2026-08-12
14-2025-S,KMG TRADING AG,Stamos,Aframax,3rd party,80004.0,80004.0,2025-03-04,2025,3,Novorossiysk,Midia,Black-Black,Short,2026-08-12
16-2025-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,80017.0,80017.0,2025-03-09,2025,3,Novorossiysk,Midia,Black-Black,Short,2026-08-12
15-2025-S,KMG TRADING AG,Rava,Aframax,3rd party,98963.0,98963.0,2025-03-10,2025,3,CPC,Fawley,Black-UK,Long,2026-08-12
17-2025-S,KMG TRADING AG,Sealeo,Aframax,3rd party,95968.0,95968.0,2025-03-19,2025,3,CPC,Tutunciftlik/Aliaga,Black-Med,Middle,2026-08-12
05-2025 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,79999.0,79999.0,2025-03-20,2025,3,Novorossiysk,Midia,Black-Black,Short,2026-08-12
04-2025 ALA,HERITAGE,Alatau,Alatau-Aframax,Own fleet,96554.568,96554.568,2025-03-22,2025,3,Ceyhan,Midia,Med-Black,Middle,2026-08-12
18-2025-S,KMG TRADING AG,Green Aura,Aframax,3rd party,98146.46,98146.46,2025-03-29,2025,3,CPC,Fos,Black-Med,Middle,2026-08-12
06-2025 ALT,KMG TRADING AG,Altai,Altai-Aframax,Own fleet,98595.0,98595.0,2025-03-31,2025,3,CPC,Millazzo/Genoa,Black-Med,Middle,2026-08-12
21-2025-S,KMG TRADING AG,Safeen Elona,Aframax,ADP fleet,80015.0,80015.0,2025-04-04,2025,4,Novorossiysk,Midia,Black-Black,Short,2026-08-12
19-2025-S,KMG TRADING AG,Safeen Baroness,Aframax,ADP fleet,86902.0,86902.0,2025-04-05,2025,4,CPC,Midia,Black-Black,Short,2026-08-12
20-2025-S,KMG TRADING AG,Nissos Paros,Aframax,3rd party,98444.0,98444.0,2025-04-10,2025,4,CPC,Haifa,Black-Med,Middle,2026-08-12
05-2025 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,80024.0,80024.0,2025-04-10,2025,4,Novorossiysk,Midia,Black-Black,Short,2026-08-12
21-2025-S,KMG TRADING AG,Rava,Aframax,3rd party,95899.0,95899.0,2025-04-17,2025,4,CPC,Trieste,Black-Med,Middle,2026-08-12
06-2025 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,80060.0,80060.0,2025-04-20,2025,4,Novorossiysk,Midia,Black-Black,Short,2026-08-12
27-2025-S,KMG TRADING AG,Green Anax,Aframax,3rd party,80024.0,80024.0,2025-05-04,2025,5,Novorossiysk,Midia,Black-Black,Short,2026-08-12
07-2025 ALA,KMG TRADING AG,Alatau,Alatau-Aframax,Own fleet,98272.0,98272.0,2025-05-04,2025,5,CPC,Sarroch,Black-Med,Middle,2026-08-12
25-2025-S,KMG TRADING AG,Olib,Aframax,3rd party,95157.0,95157.0,2025-05-07,2025,5,CPC,Trieste,Black-Med,Middle,2026-08-12
26-2025-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,79905.0,79905.0,2025-05-07,2025,5,Novorossiysk,Midia,Black-Black,Short,2026-08-12
30-2025-S,KMG TRADING AG,SAFEEN BARONESS,Aframax,ADP fleet,87153.0,87153.0,2025-05-15,2025,5,CPC,Midia,Black-Black,Short,2026-08-12
29-2025-S,KMG TRADING AG,Ohio,Aframax,3rd party,90779.0,90779.0,2025-05-16,2025,5,CPC,FOS,Black-Med,Middle,2026-08-12
